Fighter Name,fightno,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit
Arman Ashimov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Askar Askar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Askar Askarov,4.0,3.37,55.0,2.65,56.0,2.75,28.0,64.0,0.0
Cyril Asker,5.0,3.35,39.0,5.82,35.0,4.41,62.0,100.0,0.9
Khusein Askhabov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Askham,6.0,3.03,46.0,3.52,52.0,0.44,18.0,65.0,0.7
Ben Askren,3.0,3.64,49.0,5.66,36.0,4.33,55.0,0.0,0.9
Ibo Aslan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Aspinall,3.0,7.43,66.0,3.06,65.0,3.54,100.0,0.0,1.8
Bruno Assis,1.0,1.27,43.0,3.2,36.0,2.0,50.0,66.0,1.0
Junior Assuncao,5.0,3.31,62.0,2.06,44.0,2.43,24.0,66.0,0.7
Raphael Assuncao,21.0,3.26,40.0,2.33,68.0,1.48,38.0,80.0,0.3
Bazigit Atajev,1.0,0.87,41.0,3.14,49.0,1.0,33.0,0.0,0.0
Rich Attonito,5.0,2.28,47.0,2.13,59.0,0.74,37.0,75.0,0.0
Olivier Aubin-Mercier,12.0,2.48,51.0,2.97,55.0,2.36,33.0,70.0,0.5
Pat Audinwood,2.0,1.17,12.0,4.31,41.0,0.8,50.0,0.0,0.0
Jose Augusto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Aurelio,13.0,1.42,33.0,2.27,59.0,1.69,27.0,27.0,1.3
David Avellan,1.0,3.33,25.0,10.0,57.0,0.0,0.0,0.0,0.0
Blas Avena,6.0,2.34,47.0,3.36,43.0,2.37,80.0,50.0,1.8
Levi Avera,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
