Fighter Name,fightno,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit,X,Y
Christian Morecraft,4,2.82,34,2.46,46,3.26,66,50,2.2,7, 3
Christian Wellisch,5,3.12,27,3.04,56,1.22,42,45,1.2,5, 6
Christos Giagos,8,3.05,40,2.73,49,2.74,42,50,0.4,4, 5
Chuck Liddell,26,2.97,35,2.71,56,0.44,75,81,0.0,5, 0
Claude Patrick,4,1.8,55,0.89,69,2.32,53,84,1.7,11, 3
Claudia Gadelha,11,3.17,42,4.38,58,3.34,47,58,0.8,4, 4
Claudio Silva,5,2.8,51,2.17,45,3.32,33,50,2.1,2, 6
Clay Collard,4,4.22,32,5.0,50,2.81,39,71,0.5,11, 10
Clay Guida,31,2.45,33,2.4,65,3.39,38,69,0.7,2, 0
Clint Hester,7,3.36,42,3.44,56,1.02,35,60,0.0,7, 9
Cody Donovan,4,5.61,59,5.44,45,1.67,28,0,1.7,0, 9
Cody Garbrandt,9,3.53,37,3.53,64,0.94,33,100,0.0,10, 9
Cody Gibson,4,2.47,31,2.54,63,1.85,38,58,0.4,6, 6
Cody McKenzie,7,1.74,34,2.5,67,2.5,25,14,2.5,0, 12
Cody Pfister,4,1.41,25,2.8,51,2.82,30,0,0.0,0, 11
Cody Stamann,6,4.25,49,3.06,64,3.58,48,86,0.0,12, 7
Colby Covington,12,4.17,37,3.02,55,4.91,51,78,0.2,12, 0
Cole Escovedo,8,1.77,43,4.32,49,0.43,33,13,0.0,0, 10
Cole Miller,20,3.0,33,3.88,59,0.6,36,38,1.8,0, 3
Colton Smith,4,1.64,41,2.3,51,4.09,36,25,1.4,0, 7
Conor Heun,4,2.92,36,3.66,54,2.45,31,33,0.3,2, 9
Conor McGregor,12,5.43,49,4.4,55,0.75,62,70,0.0,12, 9
Corey Anderson,15,4.43,46,2.22,59,4.89,50,83,0.0,12, 0
Cortney Casey,10,4.8,38,4.73,53,0.35,30,38,0.5,11, 12
Cory Devela,4,4.07,41,4.0,47,1.07,12,62,0.0,7, 12
Cory Sandhagen,5,7.14,48,4.16,58,1.24,50,27,0.6,12, 12
Costas Philippou,10,2.19,35,2.73,54,0.4,42,65,0.3,7, 7
Coty Wheeler,4,1.88,22,3.16,59,0.87,37,33,2.6,0, 12
Court McGee,16,4.86,35,3.8,61,1.71,21,63,0.4,9, 10
Cris Cyborg,14,7.28,52,2.25,64,0.66,55,94,0.4,12, 9
Cristiano Marcello,5,2.56,33,3.61,58,0.44,11,20,0.9,1, 12
Cub Swanson,26,4.59,49,3.65,61,1.06,50,60,0.5,0, 0
Cung Le,12,4.36,48,2.98,66,1.37,71,88,0.3,6, 0
Curtis Blaydes,12,3.74,51,1.86,57,6.63,55,25,0.0,0, 5
Curtis Millender,5,3.86,46,2.95,61,0.43,100,57,0.0,8, 0
Curtis Stout,4,0.69,67,3.2,29,0.0,0,20,0.0,3, 12
Cynthia Calvillo,8,4.12,43,3.54,63,1.83,43,69,1.6,11, 8
Cyril Asker,5,3.35,39,5.82,35,4.41,62,100,0.9,12, 0
Cyrille Diabate,9,4.06,71,1.78,60,1.17,83,53,0.2,8, 0
Daijiro Matsui,14,0.84,45,1.69,55,1.83,30,43,0.4,2, 5
Daiju Takase,10,0.49,30,1.64,47,0.84,17,21,1.2,0, 12
Daisuke Nakamura,8,0.94,30,1.38,61,0.46,40,30,3.6,0, 12
Damacio Page,8,2.05,38,2.47,51,2.63,64,23,0.9,0, 6
DaMarques Johnson,10,2.11,37,3.75,51,1.18,55,19,0.7,0, 8
Damian Stasiak,6,1.86,36,3.1,52,2.64,35,43,0.6,3, 7
Damien Brown,6,3.66,38,4.86,50,0.68,27,53,0.7,7, 12
Damir Hadzovic,7,2.99,46,2.99,66,0.68,60,39,0.2,6, 3
Dan Bobish,5,2.06,44,1.74,34,2.44,42,0,1.6,0, 10
Dan Hardy,10,2.46,35,3.44,51,0.73,35,35,0.4,3, 10
Dan Henderson,42,2.44,47,2.7,51,1.52,52,57,0.3,0, 0
Dan Hooker,14,4.76,45,4.67,55,0.43,28,78,0.3,11, 11
